시군구_코드,도로_일련번호,법정동_일련번호,도로_명,영문_도로_명,시도_명,시군구_명,법정동_구분,법정동_코드,법정동_명,상위_도로_일련번호,상위_도로_명,새주소_사용여부,변경_이력_사유_코드,변경_이력_정보,법정동_번호,도로_코드
11680,4166121,1,논현로121길,Nonhyeon-ro 121 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166121 
11680,4166121,0,논현로121길,Nonhyeon-ro 121 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166121 
11680,4166122,1,논현로122길,Nonhyeon-ro 122 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166122 
11680,4166122,0,논현로122길,Nonhyeon-ro 122 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166122 
11680,4166123,1,논현로123길,Nonhyeon-ro 123 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166123 
11680,4166123,0,논현로123길,Nonhyeon-ro 123 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166123 
11680,4166124,1,논현로124길,Nonhyeon-ro 124 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166124 
11680,4166124,0,논현로124길,Nonhyeon-ro 124 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166124 
11680,4166125,1,논현로126길,Nonhyeon-ro 126 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166125 
11680,4166125,0,논현로126길,Nonhyeon-ro 126 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166125 
11680,4166126,1,논현로127길,Nonhyeon-ro 127 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166126 
11680,4166126,0,논현로127길,Nonhyeon-ro 127 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166126 
11680,4166127,1,논현로128길,Nonhyeon-ro 128 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166127 
11680,4166127,0,논현로128길,Nonhyeon-ro 128 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166127 
11680,4166128,1,논현로12길,Nonhyeon-ro 12 gil,서울특별시,강남구,1,10301,개포동,3121022,,0,,,103,116804166128 
11680,4166128,0,논현로12길,Nonhyeon-ro 12 gil,서울특별시,강남구,2,0,,3121022,,0,,,,116804166128 
11680,4166129,1,논현로131길,Nonhyeon-ro 131 gil,서울특별시,강남구,1,10801,논현동,3121022,,0,,,108,116804166129 
11650,4163303,1,법원로4길,Beobwon-ro  4-gil,서울특별시,서초구,1,10801,서초동,3121013,,0,,,108,116504163303 
11650,4163303,0,법원로4길,Beobwon-ro  4-gil,서울특별시,서초구,2,0,,3121013,,0,,,,116504163303 
11650,4163304,1,본마을1길,Bonmaeul 1-gil,서울특별시,서초구,1,11101,신원동,,,0,,,111,116504163304 
11650,4163304,0,본마을1길,Bonmaeul 1-gil,서울특별시,서초구,2,0,,,,0,,,,116504163304 
11650,4163305,1,본마을2길,Bonmaeul 2-gil,서울특별시,서초구,1,11101,신원동,,,0,,,111,116504163305 
11650,4163305,0,본마을2길,Bonmaeul 2-gil,서울특별시,서초구,2,0,,,,0,,,,116504163305 
11650,4163306,1,본마을3길,Bonmaeul 3-gil,서울특별시,서초구,1,11101,신원동,,,0,,,111,116504163306 
11650,4163306,0,본마을3길,Bonmaeul 3-gil,서울특별시,서초구,2,0,,,,0,,,,116504163306 
11650,4163307,1,본마을4길,Bonmaeul 4-gil,서울특별시,서초구,1,11101,신원동,,,0,,,111,116504163307 
11650,4163307,0,본마을4길,Bonmaeul 4-gil,서울특별시,서초구,2,0,,,,0,,,,116504163307 
11650,4163308,1,본마을길,Bonmaeul-gil,서울특별시,서초구,1,11101,신원동,,,0,,,111,116504163308 
11650,4163308,0,본마을길,Bonmaeul-gil,서울특별시,서초구,2,0,,,,0,,,,116504163308 
11650,4163309,1,사임당로10길,Saimdang-ro  10-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163309 
11650,4163309,0,사임당로10길,Saimdang-ro  10-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163309 
11650,4163310,1,사임당로12길,Saimdang-ro  12-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163310 
11650,4163310,0,사임당로12길,Saimdang-ro  12-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163310 
11650,4163311,1,사임당로14길,Saimdang-ro  14-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163311 
11650,4163311,0,사임당로14길,Saimdang-ro  14-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163311 
11650,4163312,1,사임당로16길,Saimdang-ro  16-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163312 
11650,4163312,0,사임당로16길,Saimdang-ro  16-gil,서울특별시,서초구,2,0,,3121014,,0,,,,116504163312 
11650,4163313,1,사임당로17길,Saimdang-ro  17-gil,서울특별시,서초구,1,10801,서초동,3121014,,0,,,108,116504163313 
