시군구_코드,도로_일련번호,법정동_일련번호,도로_명,영문_도로_명,시도_명,시군구_명,법정동_구분,법정동_코드,법정동_명,상위_도로_일련번호,상위_도로_명,새주소_사용여부,변경_이력_사유_코드,변경_이력_정보,법정동_번호,도로_코드
11710,4169027,0,가락로9길,Garak-ro 9-gil,서울특별시,송파구,2,0,,3123001,,0,,,,117104169027 
11710,4169028,1,강동대로2길,Gangdong-daero 2-gil,서울특별시,송파구,1,10301,풍납동,2123001,,0,,,103,117104169028 
11710,4169028,0,강동대로2길,Gangdong-daero 2-gil,서울특별시,송파구,2,0,,2123001,,0,,,,117104169028 
11710,4169029,1,강동대로3길,Gangdong-daero 3-gil,서울특별시,송파구,1,10301,풍납동,2123001,,0,,,103,117104169029 
11710,4169029,0,강동대로3길,Gangdong-daero 3-gil,서울특별시,송파구,2,0,,2123001,,0,,,,117104169029 
11710,4169030,1,강동대로5길,Gangdong-daero 5-gil,서울특별시,송파구,1,10301,풍납동,2123001,,0,,,103,117104169030 
11710,4169030,0,강동대로5길,Gangdong-daero 5-gil,서울특별시,송파구,2,0,,2123001,,0,,,,117104169030 
11710,4169031,1,강동대로7길,Gangdong-daero 7-gil,서울특별시,송파구,1,10301,풍납동,2123001,,0,,,103,117104169031 
11710,4169031,0,강동대로7길,Gangdong-daero 7-gil,서울특별시,송파구,2,0,,2123001,,0,,,,117104169031 
11710,4169032,1,강동대로9길,Gangdong-daero 9-gil,서울특별시,송파구,1,10301,풍납동,2123001,,0,,,103,117104169032 
